quality_event_id,production_id,job_order_id,product_id,machine_id,operator_id,date,defect_type,severity,disposition,rework_cost,root_cause,corrective_action_taken
QE-001157,PRD-RUN-000617,JOB-00156,PRD-008,MCH-014,OPR-015,2024-03-17,Alignment Error,Minor,Rework,84.43,Operator Error,True
QE-001158,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Alignment Error,Minor,Rework,66.01,Environmental,True
QE-001159,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Alignment Error,Major,Rework,74.38,Operator Error,True
QE-001160,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Crack/Fracture,Minor,Rework,102.0,Process Drift,True
QE-001161,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Material Defect,Major,Scrap,8.86,Machine Calibration,False
QE-001162,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Material Defect,Minor,Rework,45.25,Tool Wear,False
QE-001163,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Alignment Error,Minor,Rework,96.92,Environmental,True
QE-001164,PRD-RUN-000618,JOB-00156,PRD-008,MCH-018,OPR-007,2024-03-20,Crack/Fracture,Minor,Rework,31.74,Environmental,True
QE-001165,PRD-RUN-000623,JOB-00158,PRD-004,MCH-005,OPR-009,2025-08-19,Tool Wear Damage,Major,Rework,112.1,Tool Wear,True
QE-001166,PRD-RUN-000623,JOB-00158,PRD-004,MCH-005,OPR-009,2025-08-19,Tool Wear Damage,Minor,Rework,113.86,Machine Calibration,False
QE-001167,PRD-RUN-000624,JOB-00158,PRD-004,MCH-012,OPR-013,2025-08-19,Material Defect,Minor,Rework,51.22,Tool Wear,False
QE-001168,PRD-RUN-000625,JOB-00158,PRD-004,MCH-017,OPR-009,2025-08-19,Assembly Error,Minor,Rework,96.09,Process Drift,True
QE-001169,PRD-RUN-000625,JOB-00158,PRD-004,MCH-017,OPR-009,2025-08-19,Surface Finish Defect,Minor,Rework,111.81,Tool Wear,True
QE-001170,PRD-RUN-000626,JOB-00159,PRD-007,MCH-003,OPR-002,2025-09-25,Dimensional Out-of-Spec,Major,Scrap,69.09,Machine Calibration,False
QE-001171,PRD-RUN-000626,JOB-00159,PRD-007,MCH-003,OPR-002,2025-09-25,Alignment Error,Minor,Rework,27.01,Process Drift,False
QE-001172,PRD-RUN-000627,JOB-00159,PRD-007,MCH-010,OPR-001,2025-09-25,Tool Wear Damage,Minor,Rework,32.62,Material Variation,True
QE-001173,PRD-RUN-000627,JOB-00159,PRD-007,MCH-010,OPR-001,2025-09-25,Surface Finish Defect,Major,Rework,66.49,Material Variation,True
QE-001174,PRD-RUN-000628,JOB-00159,PRD-007,MCH-010,OPR-016,2025-09-25,Tool Wear Damage,Minor,Rework,72.97,Material Variation,False
QE-001175,PRD-RUN-000628,JOB-00159,PRD-007,MCH-010,OPR-016,2025-09-25,Alignment Error,Major,Scrap,48.39,Tool Wear,False
QE-001176,PRD-RUN-000629,JOB-00159,PRD-007,MCH-012,OPR-016,2025-09-26,Assembly Error,Critical,Rework,23.05,Environmental,False
QE-001177,PRD-RUN-000629,JOB-00159,PRD-007,MCH-012,OPR-016,2025-09-26,Assembly Error,Major,Rework,60.09,Material Variation,False
QE-001178,PRD-RUN-000630,JOB-00159,PRD-007,MCH-017,OPR-016,2025-09-26,Contamination,Critical,Use As-Is,0.0,Operator Error,True
QE-001179,PRD-RUN-000630,JOB-00159,PRD-007,MCH-017,OPR-016,2025-09-26,Alignment Error,Major,Scrap,46.12,Environmental,False
QE-001180,PRD-RUN-000631,JOB-00160,PRD-007,MCH-001,OPR-002,2024-03-26,Material Defect,Major,Rework,62.0,Material Variation,False
QE-001181,PRD-RUN-000632,JOB-00160,PRD-007,MCH-009,OPR-001,2024-03-26,Surface Finish Defect,Critical,Scrap,45.84,Environmental,False
QE-001182,PRD-RUN-000633,JOB-00160,PRD-007,MCH-010,OPR-005,2024-03-26,Tool Wear Damage,Minor,Use As-Is,0.0,Environmental,False
QE-001183,PRD-RUN-000634,JOB-00160,PRD-007,MCH-011,OPR-005,2024-03-26,Assembly Error,Minor,Use As-Is,0.0,Machine Calibration,False
QE-001184,PRD-RUN-000635,JOB-00160,PRD-007,MCH-017,OPR-014,2024-03-26,Alignment Error,Minor,Rework,60.77,Tool Wear,False
QE-001185,PRD-RUN-000636,JOB-00161,PRD-004,MCH-005,OPR-002,2025-01-13,Contamination,Critical,Scrap,22.23,Machine Calibration,True
QE-001186,PRD-RUN-000637,JOB-00161,PRD-004,MCH-012,OPR-002,2025-01-13,Material Defect,Minor,Use As-Is,0.0,Environmental,False
QE-001187,PRD-RUN-000638,JOB-00161,PRD-004,MCH-018,OPR-004,2025-01-13,Dimensional Out-of-Spec,Major,Scrap,19.05,Environmental,False
QE-001188,PRD-RUN-000639,JOB-00162,PRD-003,MCH-003,OPR-007,2024-04-16,Material Defect,Major,Scrap,23.0,Tool Wear,True
QE-001189,PRD-RUN-000640,JOB-00162,PRD-003,MCH-010,OPR-001,2024-04-16,Material Defect,Minor,Rework,56.64,Tool Wear,True
QE-001190,PRD-RUN-000641,JOB-00162,PRD-003,MCH-006,OPR-011,2024-04-16,Alignment Error,Minor,Use As-Is,0.0,Environmental,True
QE-001191,PRD-RUN-000642,JOB-00162,PRD-003,MCH-017,OPR-012,2024-04-16,Alignment Error,Major,Scrap,23.95,Environmental,False
QE-001192,PRD-RUN-000643,JOB-00163,PRD-001,MCH-001,OPR-013,2025-11-04,Tool Wear Damage,Minor,Rework,21.74,Machine Calibration,True
QE-001193,PRD-RUN-000643,JOB-00163,PRD-001,MCH-001,OPR-013,2025-11-04,Alignment Error,Minor,Rework,81.55,Machine Calibration,False
QE-001194,PRD-RUN-000643,JOB-00163,PRD-001,MCH-001,OPR-013,2025-11-04,Assembly Error,Minor,Rework,81.56,Environmental,False
QE-001195,PRD-RUN-000643,JOB-00163,PRD-001,MCH-001,OPR-013,2025-11-04,Assembly Error,Minor,Rework,48.39,Environmental,True
QE-001196,PRD-RUN-000643,JOB-00163,PRD-001,MCH-001,OPR-013,2025-11-04,Surface Finish Defect,Minor,Rework,115.72,Material Variation,True
QE-001197,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Alignment Error,Minor,Rework,97.85,Material Variation,False
QE-001198,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Material Defect,Minor,Rework,109.75,Tool Wear,True
QE-001199,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Assembly Error,Major,Scrap,33.06,Material Variation,True
QE-001200,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Assembly Error,Minor,Rework,70.0,Environmental,True
QE-001201,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Crack/Fracture,Critical,Scrap,38.06,Tool Wear,True
QE-001202,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Assembly Error,Minor,Rework,76.75,Tool Wear,True
QE-001203,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Crack/Fracture,Critical,Scrap,37.54,Tool Wear,True
QE-001204,PRD-RUN-000644,JOB-00163,PRD-001,MCH-009,OPR-002,2025-11-05,Assembly Error,Minor,Rework,60.41,Operator Error,False
QE-001205,PRD-RUN-000645,JOB-00163,PRD-001,MCH-011,OPR-007,2025-11-06,Crack/Fracture,Minor,Rework,28.95,Machine Calibration,False
QE-001206,PRD-RUN-000645,JOB-00163,PRD-001,MCH-011,OPR-007,2025-11-06,Surface Finish Defect,Minor,Rework,100.26,Machine Calibration,True
QE-001207,PRD-RUN-000645,JOB-00163,PRD-001,MCH-011,OPR-007,2025-11-06,Assembly Error,Minor,Rework,55.67,Material Variation,False
QE-001208,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Tool Wear Damage,Minor,Use As-Is,0.0,Machine Calibration,True
QE-001209,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Contamination,Minor,Rework,78.88,Tool Wear,False
QE-001210,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Assembly Error,Major,Rework,53.75,Process Drift,True
QE-001211,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Dimensional Out-of-Spec,Major,Rework,65.63,Operator Error,True
QE-001212,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Surface Finish Defect,Minor,Use As-Is,0.0,Operator Error,False
QE-001213,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Assembly Error,Major,Rework,82.09,Process Drift,True
QE-001214,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Alignment Error,Minor,Rework,75.74,Process Drift,True
QE-001215,PRD-RUN-000646,JOB-00163,PRD-001,MCH-017,OPR-009,2025-11-07,Crack/Fracture,Major,Scrap,25.67,Operator Error,True
QE-001216,PRD-RUN-000647,JOB-00164,PRD-001,MCH-001,OPR-006,2025-02-07,Surface Finish Defect,Major,Scrap,27.8,Operator Error,True
QE-001217,PRD-RUN-000647,JOB-00164,PRD-001,MCH-001,OPR-006,2025-02-07,Surface Finish Defect,Minor,Use As-Is,0.0,Operator Error,False
QE-001218,PRD-RUN-000648,JOB-00164,PRD-001,MCH-009,OPR-002,2025-02-07,Alignment Error,Minor,Rework,33.26,Material Variation,False
QE-001219,PRD-RUN-000648,JOB-00164,PRD-001,MCH-009,OPR-002,2025-02-07,Tool Wear Damage,Major,Rework,75.47,Operator Error,True
QE-001220,PRD-RUN-000649,JOB-00164,PRD-001,MCH-012,OPR-007,2025-02-07,Material Defect,Major,Rework,56.43,Operator Error,True
QE-001221,PRD-RUN-000649,JOB-00164,PRD-001,MCH-012,OPR-007,2025-02-07,Alignment Error,Major,Scrap,28.04,Process Drift,True
QE-001222,PRD-RUN-000650,JOB-00164,PRD-001,MCH-018,OPR-006,2025-02-08,Tool Wear Damage,Minor,Rework,19.63,Operator Error,False
QE-001223,PRD-RUN-000650,JOB-00164,PRD-001,MCH-018,OPR-006,2025-02-08,Tool Wear Damage,Minor,Rework,95.59,Material Variation,False
QE-001224,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Contamination,Minor,Rework,20.67,Process Drift,True
QE-001225,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Dimensional Out-of-Spec,Minor,Rework,54.98,Environmental,True
QE-001226,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Crack/Fracture,Minor,Rework,62.86,Machine Calibration,True
QE-001227,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Dimensional Out-of-Spec,Minor,Rework,62.57,Environmental,False
QE-001228,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Crack/Fracture,Critical,Scrap,35.29,Tool Wear,True
QE-001229,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Alignment Error,Major,Rework,89.49,Operator Error,True
QE-001230,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Dimensional Out-of-Spec,Minor,Rework,38.85,Environmental,False
QE-001231,PRD-RUN-000651,JOB-00165,PRD-002,MCH-007,OPR-001,2025-01-13,Alignment Error,Minor,Scrap,50.5,Process Drift,False
QE-001232,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Crack/Fracture,Major,Rework,54.69,Material Variation,False
QE-001233,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Surface Finish Defect,Minor,Rework,69.72,Machine Calibration,True
QE-001234,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Crack/Fracture,Major,Rework,62.48,Environmental,True
QE-001235,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Contamination,Minor,Rework,115.3,Environmental,True
QE-001236,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Contamination,Minor,Rework,51.38,Material Variation,False
QE-001237,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Surface Finish Defect,Major,Scrap,35.74,Material Variation,False
QE-001238,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Alignment Error,Major,Scrap,42.19,Tool Wear,False
QE-001239,PRD-RUN-000652,JOB-00165,PRD-002,MCH-012,OPR-009,2025-01-14,Surface Finish Defect,Minor,Rework,67.4,Process Drift,False
QE-001240,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Crack/Fracture,Minor,Rework,21.96,Machine Calibration,False
QE-001241,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Alignment Error,Minor,Use As-Is,0.0,Process Drift,False
QE-001242,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Dimensional Out-of-Spec,Minor,Rework,111.44,Environmental,True
QE-001243,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Alignment Error,Major,Rework,35.87,Operator Error,True
QE-001244,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Tool Wear Damage,Major,Rework,112.71,Process Drift,False
QE-001245,PRD-RUN-000653,JOB-00165,PRD-002,MCH-015,OPR-004,2025-01-15,Material Defect,Major,Rework,57.44,Operator Error,True
QE-001246,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Alignment Error,Minor,Rework,73.32,Material Variation,False
QE-001247,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Assembly Error,Critical,Scrap,52.17,Machine Calibration,True
QE-001248,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Dimensional Out-of-Spec,Minor,Rework,21.82,Material Variation,True
QE-001249,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Tool Wear Damage,Minor,Use As-Is,0.0,Operator Error,True
QE-001250,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Dimensional Out-of-Spec,Minor,Use As-Is,0.0,Process Drift,True
QE-001251,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Material Defect,Minor,Rework,58.46,Process Drift,True
QE-001252,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Assembly Error,Minor,Rework,44.57,Material Variation,True
QE-001253,PRD-RUN-000654,JOB-00165,PRD-002,MCH-018,OPR-015,2025-01-17,Assembly Error,Minor,Scrap,36.22,Process Drift,True
QE-001254,PRD-RUN-000655,JOB-00166,PRD-007,MCH-001,OPR-015,2024-11-18,Dimensional Out-of-Spec,Minor,Rework,85.24,Tool Wear,False
QE-001255,PRD-RUN-000655,JOB-00166,PRD-007,MCH-001,OPR-015,2024-11-18,Tool Wear Damage,Major,Scrap,41.96,Tool Wear,False
QE-001256,PRD-RUN-000655,JOB-00166,PRD-007,MCH-001,OPR-015,2024-11-18,Alignment Error,Major,Scrap,56.98,Operator Error,True
QE-001257,PRD-RUN-000656,JOB-00166,PRD-007,MCH-008,OPR-004,2024-11-19,Assembly Error,Critical,Scrap,50.06,Environmental,False
QE-001258,PRD-RUN-000656,JOB-00166,PRD-007,MCH-008,OPR-004,2024-11-19,Dimensional Out-of-Spec,Major,Rework,117.5,Tool Wear,False
QE-001259,PRD-RUN-000656,JOB-00166,PRD-007,MCH-008,OPR-004,2024-11-19,Contamination,Minor,Rework,110.19,Machine Calibration,False
QE-001260,PRD-RUN-000657,JOB-00166,PRD-007,MCH-008,OPR-006,2024-11-19,Assembly Error,Minor,Rework,15.79,Machine Calibration,True
QE-001261,PRD-RUN-000657,JOB-00166,PRD-007,MCH-008,OPR-006,2024-11-19,Tool Wear Damage,Major,Scrap,65.19,Operator Error,False
QE-001262,PRD-RUN-000657,JOB-00166,PRD-007,MCH-008,OPR-006,2024-11-19,Alignment Error,Minor,Use As-Is,0.0,Environmental,True
QE-001263,PRD-RUN-000658,JOB-00166,PRD-007,MCH-011,OPR-006,2024-11-19,Material Defect,Minor,Rework,32.71,Material Variation,False
QE-001264,PRD-RUN-000658,JOB-00166,PRD-007,MCH-011,OPR-006,2024-11-19,Material Defect,Minor,Rework,64.4,Machine Calibration,False
QE-001265,PRD-RUN-000658,JOB-00166,PRD-007,MCH-011,OPR-006,2024-11-19,Assembly Error,Major,Scrap,65.23,Operator Error,False
QE-001266,PRD-RUN-000659,JOB-00166,PRD-007,MCH-018,OPR-001,2024-11-20,Crack/Fracture,Minor,Use As-Is,0.0,Operator Error,False
QE-001267,PRD-RUN-000659,JOB-00166,PRD-007,MCH-018,OPR-001,2024-11-20,Material Defect,Major,Scrap,46.35,Machine Calibration,True
QE-001268,PRD-RUN-000659,JOB-00166,PRD-007,MCH-018,OPR-001,2024-11-20,Material Defect,Major,Rework,92.05,Operator Error,True
QE-001269,PRD-RUN-000660,JOB-00167,PRD-005,MCH-002,OPR-001,2024-04-11,Contamination,Minor,Rework,40.3,Machine Calibration,False
QE-001270,PRD-RUN-000661,JOB-00167,PRD-005,MCH-008,OPR-012,2024-04-11,Tool Wear Damage,Minor,Rework,106.66,Process Drift,False
QE-001271,PRD-RUN-000662,JOB-00167,PRD-005,MCH-016,OPR-003,2024-04-11,Contamination,Minor,Rework,61.1,Process Drift,False
QE-001272,PRD-RUN-000663,JOB-00167,PRD-005,MCH-017,OPR-010,2024-04-11,Contamination,Minor,Use As-Is,0.0,Environmental,False
QE-001273,PRD-RUN-000664,JOB-00168,PRD-003,MCH-002,OPR-005,2025-02-17,Material Defect,Critical,Scrap,22.79,Material Variation,False
QE-001274,PRD-RUN-000665,JOB-00168,PRD-003,MCH-009,OPR-002,2025-02-17,Dimensional Out-of-Spec,Major,Use As-Is,0.0,Operator Error,False
QE-001275,PRD-RUN-000665,JOB-00168,PRD-003,MCH-009,OPR-002,2025-02-17,Alignment Error,Minor,Scrap,20.01,Machine Calibration,True
QE-001276,PRD-RUN-000665,JOB-00168,PRD-003,MCH-009,OPR-002,2025-02-17,Dimensional Out-of-Spec,Minor,Rework,78.68,Process Drift,True
QE-001277,PRD-RUN-000666,JOB-00168,PRD-003,MCH-006,OPR-010,2025-02-18,Surface Finish Defect,Major,Rework,86.7,Process Drift,True
QE-001278,PRD-RUN-000666,JOB-00168,PRD-003,MCH-006,OPR-010,2025-02-18,Assembly Error,Minor,Rework,86.46,Material Variation,False
QE-001279,PRD-RUN-000666,JOB-00168,PRD-003,MCH-006,OPR-010,2025-02-18,Material Defect,Minor,Rework,67.24,Environmental,True
QE-001280,PRD-RUN-000667,JOB-00168,PRD-003,MCH-017,OPR-009,2025-02-18,Assembly Error,Minor,Rework,57.29,Environmental,True
QE-001281,PRD-RUN-000667,JOB-00168,PRD-003,MCH-017,OPR-009,2025-02-18,Material Defect,Minor,Rework,80.0,Operator Error,True
QE-001282,PRD-RUN-000667,JOB-00168,PRD-003,MCH-017,OPR-009,2025-02-18,Alignment Error,Minor,Rework,18.5,Operator Error,True
QE-001283,PRD-RUN-000672,JOB-00170,PRD-005,MCH-003,OPR-009,2025-12-08,Surface Finish Defect,Minor,Rework,40.14,Material Variation,True
QE-001284,PRD-RUN-000673,JOB-00170,PRD-005,MCH-010,OPR-015,2025-12-08,Assembly Error,Minor,Use As-Is,0.0,Machine Calibration,True
QE-001285,PRD-RUN-000675,JOB-00170,PRD-005,MCH-018,OPR-012,2025-12-08,Dimensional Out-of-Spec,Major,Rework,41.83,Process Drift,True
QE-001286,PRD-RUN-000676,JOB-00171,PRD-002,MCH-007,OPR-012,2025-09-10,Material Defect,Minor,Rework,96.73,Operator Error,True
QE-001287,PRD-RUN-000676,JOB-00171,PRD-002,MCH-007,OPR-012,2025-09-10,Crack/Fracture,Minor,Use As-Is,0.0,Operator Error,True
QE-001288,PRD-RUN-000676,JOB-00171,PRD-002,MCH-007,OPR-012,2025-09-10,Alignment Error,Major,Rework,61.34,Process Drift,True
QE-001289,PRD-RUN-000677,JOB-00171,PRD-002,MCH-012,OPR-015,2025-09-10,Surface Finish Defect,Major,Use As-Is,0.0,Environmental,False
QE-001290,PRD-RUN-000677,JOB-00171,PRD-002,MCH-012,OPR-015,2025-09-10,Dimensional Out-of-Spec,Minor,Rework,19.81,Tool Wear,True
QE-001291,PRD-RUN-000677,JOB-00171,PRD-002,MCH-012,OPR-015,2025-09-10,Surface Finish Defect,Major,Scrap,58.75,Machine Calibration,False
QE-001292,PRD-RUN-000678,JOB-00171,PRD-002,MCH-014,OPR-002,2025-09-11,Assembly Error,Major,Scrap,42.95,Operator Error,False
QE-001293,PRD-RUN-000678,JOB-00171,PRD-002,MCH-014,OPR-002,2025-09-11,Tool Wear Damage,Major,Scrap,33.39,Operator Error,False
QE-001294,PRD-RUN-000678,JOB-00171,PRD-002,MCH-014,OPR-002,2025-09-11,Alignment Error,Minor,Use As-Is,0.0,Material Variation,False
QE-001295,PRD-RUN-000679,JOB-00171,PRD-002,MCH-018,OPR-005,2025-09-12,Surface Finish Defect,Minor,Rework,58.94,Machine Calibration,True
QE-001296,PRD-RUN-000679,JOB-00171,PRD-002,MCH-018,OPR-005,2025-09-12,Crack/Fracture,Major,Scrap,60.44,Tool Wear,True
QE-001297,PRD-RUN-000680,JOB-00172,PRD-005,MCH-002,OPR-014,2024-11-22,Material Defect,Minor,Rework,99.15,Tool Wear,False
QE-001298,PRD-RUN-000680,JOB-00172,PRD-005,MCH-002,OPR-014,2024-11-22,Dimensional Out-of-Spec,Minor,Rework,77.32,Process Drift,True
QE-001299,PRD-RUN-000681,JOB-00172,PRD-005,MCH-009,OPR-010,2024-11-22,Surface Finish Defect,Minor,Rework,94.71,Operator Error,True
QE-001300,PRD-RUN-000681,JOB-00172,PRD-005,MCH-009,OPR-010,2024-11-22,Dimensional Out-of-Spec,Minor,Rework,69.23,Tool Wear,False
QE-001301,PRD-RUN-000681,JOB-00172,PRD-005,MCH-009,OPR-010,2024-11-22,Assembly Error,Major,Scrap,49.61,Operator Error,False
QE-001302,PRD-RUN-000682,JOB-00172,PRD-005,MCH-014,OPR-011,2024-11-23,Material Defect,Major,Scrap,50.61,Environmental,False
QE-001303,PRD-RUN-000682,JOB-00172,PRD-005,MCH-014,OPR-011,2024-11-23,Material Defect,Minor,Rework,50.43,Material Variation,True
QE-001304,PRD-RUN-000682,JOB-00172,PRD-005,MCH-014,OPR-011,2024-11-23,Material Defect,Major,Rework,61.77,Tool Wear,True
QE-001305,PRD-RUN-000683,JOB-00172,PRD-005,MCH-018,OPR-003,2024-11-24,Alignment Error,Minor,Rework,38.78,Environmental,False
QE-001306,PRD-RUN-000683,JOB-00172,PRD-005,MCH-018,OPR-003,2024-11-24,Assembly Error,Minor,Scrap,46.34,Operator Error,False
QE-001307,PRD-RUN-000683,JOB-00172,PRD-005,MCH-018,OPR-003,2024-11-24,Surface Finish Defect,Minor,Rework,29.39,Machine Calibration,False
QE-001308,PRD-RUN-000684,JOB-00173,PRD-005,MCH-002,OPR-009,2024-09-06,Contamination,Minor,Rework,64.56,Machine Calibration,False
QE-001309,PRD-RUN-000685,JOB-00173,PRD-005,MCH-008,OPR-015,2024-09-06,Dimensional Out-of-Spec,Major,Use As-Is,0.0,Operator Error,False
QE-001310,PRD-RUN-000686,JOB-00173,PRD-005,MCH-015,OPR-002,2024-09-06,Contamination,Minor,Rework,116.49,Material Variation,True
QE-001311,PRD-RUN-000687,JOB-00173,PRD-005,MCH-017,OPR-006,2024-09-06,Dimensional Out-of-Spec,Minor,Rework,63.93,Operator Error,True
QE-001312,PRD-RUN-000688,JOB-00174,PRD-008,MCH-004,OPR-005,2024-09-16,Surface Finish Defect,Minor,Rework,22.17,Machine Calibration,False
QE-001313,PRD-RUN-000689,JOB-00174,PRD-008,MCH-009,OPR-011,2024-09-16,Tool Wear Damage,Minor,Use As-Is,0.0,Environmental,True
QE-001314,PRD-RUN-000689,JOB-00174,PRD-008,MCH-009,OPR-011,2024-09-16,Tool Wear Damage,Minor,Rework,16.93,Tool Wear,True
QE-001315,PRD-RUN-000690,JOB-00174,PRD-008,MCH-015,OPR-013,2024-09-16,Alignment Error,Major,Rework,114.76,Material Variation,True
QE-001316,PRD-RUN-000691,JOB-00174,PRD-008,MCH-017,OPR-011,2024-09-17,Material Defect,Minor,Rework,89.25,Process Drift,False
QE-001317,PRD-RUN-000691,JOB-00174,PRD-008,MCH-017,OPR-011,2024-09-17,Dimensional Out-of-Spec,Minor,Rework,89.51,Operator Error,False
QE-001318,PRD-RUN-000692,JOB-00175,PRD-008,MCH-001,OPR-012,2025-11-04,Crack/Fracture,Minor,Rework,53.84,Tool Wear,True
QE-001319,PRD-RUN-000692,JOB-00175,PRD-008,MCH-001,OPR-012,2025-11-04,Dimensional Out-of-Spec,Major,Scrap,9.01,Environmental,False
QE-001320,PRD-RUN-000693,JOB-00175,PRD-008,MCH-008,OPR-006,2025-11-04,Dimensional Out-of-Spec,Minor,Rework,73.63,Material Variation,True
QE-001321,PRD-RUN-000693,JOB-00175,PRD-008,MCH-008,OPR-006,2025-11-04,Dimensional Out-of-Spec,Minor,Rework,95.54,Tool Wear,False
QE-001322,PRD-RUN-000694,JOB-00175,PRD-008,MCH-016,OPR-016,2025-11-04,Crack/Fracture,Critical,Scrap,9.06,Environmental,False
QE-001323,PRD-RUN-000694,JOB-00175,PRD-008,MCH-016,OPR-016,2025-11-04,Material Defect,Minor,Rework,47.21,Process Drift,True
QE-001324,PRD-RUN-000695,JOB-00175,PRD-008,MCH-018,OPR-011,2025-11-05,Assembly Error,Minor,Rework,70.92,Operator Error,True
QE-001325,PRD-RUN-000695,JOB-00175,PRD-008,MCH-018,OPR-011,2025-11-05,Material Defect,Minor,Rework,86.53,Tool Wear,True
QE-001326,PRD-RUN-000696,JOB-00176,PRD-007,MCH-001,OPR-006,2024-05-29,Assembly Error,Minor,Rework,21.08,Machine Calibration,True
QE-001327,PRD-RUN-000696,JOB-00176,PRD-007,MCH-001,OPR-006,2024-05-29,Dimensional Out-of-Spec,Minor,Rework,64.73,Material Variation,True
QE-001328,PRD-RUN-000696,JOB-00176,PRD-007,MCH-001,OPR-006,2024-05-29,Alignment Error,Minor,Rework,51.18,Tool Wear,True
QE-001329,PRD-RUN-000697,JOB-00176,PRD-007,MCH-009,OPR-010,2024-05-29,Tool Wear Damage,Major,Scrap,68.26,Machine Calibration,True
QE-001330,PRD-RUN-000697,JOB-00176,PRD-007,MCH-009,OPR-010,2024-05-29,Contamination,Major,Rework,55.78,Material Variation,False
QE-001331,PRD-RUN-000697,JOB-00176,PRD-007,MCH-009,OPR-010,2024-05-29,Contamination,Critical,Rework,81.04,Process Drift,False
QE-001332,PRD-RUN-000698,JOB-00176,PRD-007,MCH-008,OPR-015,2024-05-30,Surface Finish Defect,Critical,Scrap,52.4,Operator Error,False
QE-001333,PRD-RUN-000698,JOB-00176,PRD-007,MCH-008,OPR-015,2024-05-30,Dimensional Out-of-Spec,Major,Rework,100.39,Material Variation,False
QE-001334,PRD-RUN-000698,JOB-00176,PRD-007,MCH-008,OPR-015,2024-05-30,Assembly Error,Minor,Rework,112.63,Process Drift,True
